,startTime,endTime,control,transitionType,targetLocX,targetLocY,targetLocZ,targetRotX,targetRotY,targetRotZ,targetDimX,targetDimY,targetDimZ,targetType,uid,sid,cid,interfaceID,numClicks,draggingDuration,resetIKNum,topViewDuration,sideViewDuration,frontViewDuration,numViewSwitches,cycleLength
56,1604086555.221,1604086561.389,drag,press/release,6.08708160598822,3.092873423515312,-0.8596403224692266,90,0,0,0.14160479638569867,0.14160479638569867,1.0,cylinder,1vR0JXgfnMfTo5bUAJErPXBdog93,-MKv-ZDRGtenv4GpFfVH,-MKv-a8KXkz-lllzf1sU,drag-press/release,2,3.9,0,6.167,0.001,0.0,1,6.167999982833862
57,1604086595.448,1604086615.423,drag,press/release,3.145557555205779,1.110575553526953,-3.4300629525447306,0,0,90,0.14552094172146282,2.061004171882237,0.38522727247016103,box,1vR0JXgfnMfTo5bUAJErPXBdog93,-MKv-ZDRGtenv4GpFfVH,-MKv-jxswFPFwS3McMUI,drag-press/release,4,1604086627.478,0,23.365,0.0,-3.39,3,19.975000143051147
58,1604086620.464,1604087038.437,drag,press/release,3.2964083436193596,2.198306833174892,1.7157958577415187,0,90,90,0.14552094172146282,2.061004171882237,0.38522727247016103,box,1vR0JXgfnMfTo5bUAJErPXBdog93,-MKv-ZDRGtenv4GpFfVH,-MKv-q3krsjCsIrESxFU,drag-press/release,80,-1047.392,2,-257.483,560.799,114.657,22,417.97300004959106
59,1604086566.117,1604086590.655,drag,press/release,4.775727256627734,2.375532741608348,-1.4115855189270927,90,0,0,0.14160479638569867,0.14160479638569867,1.0,cylinder,1vR0JXgfnMfTo5bUAJErPXBdog93,-MKv-ZDRGtenv4GpFfVH,-MKv-cn_zw9nzVBFdm_Q,drag-press/release,6,37.695,0,-9.633,34.171,0.0,3,24.537999868392944
60,1604089955.63,1604089988.424,targetdrag,click,4.06076133881568,3.5543123808120387,-0.2721569650935174,90,0,0,0.13278613905718392,0.13278613905718392,1.0,cylinder,5406npKuKpdfDwmKZD26uRz8I7w1,-MKvCS5eZ-_n45f9TNIM,-MKvCZJiba-oAvJShaps,targetdrag-click,6,-1.0,0,35.598,-28.004,25.2,4,32.793999910354614
61,1604090011.255,1604090082.685,targetdrag,click,3.8986244927933806,2.764123216923657,-0.588183989689119,0,90,90,0.08290730428184641,1.782922509537757,0.38008582481843867,box,5406npKuKpdfDwmKZD26uRz8I7w1,-MKvCS5eZ-_n45f9TNIM,-MKvCltrMFwh70jIOZKy,targetdrag-click,20,-1.0,1,36.561,48.044,-13.175,5,71.42999982833862
62,1604089942.372,1604089946.342,targetdrag,click,6.397104733337428,2.0628351999924943,-0.6073496168659844,90,0,0,0.13278613905718392,0.13278613905718392,1.0,cylinder,5406npKuKpdfDwmKZD26uRz8I7w1,-MKvCS5eZ-_n45f9TNIM,-MKvCW4Z2_B_Z3BQMS94,targetdrag-click,2,-1.0,0,3.97,0.0,0.0,1,3.9700000286102295
63,1604089995.573,1604090001.726,targetdrag,click,3.0567098383875217,2.472841246908899,-3.941786672214876,0,0,90,0.08290730428184641,1.782922509537757,0.38008582481843867,box,5406npKuKpdfDwmKZD26uRz8I7w1,-MKvCS5eZ-_n45f9TNIM,-MKvCi3pBp678CiIF-sf,targetdrag-click,2,-1.0,0,0.001,6.152,0.0,2,6.153000116348267
64,1604090102.554,1604090140.983,targetdrag,click,2.006579027086556,1.5517077072132524,-2.9617602247122083,0,45,90,0.08290730428184641,1.782922509537757,0.38008582481843867,box,5406npKuKpdfDwmKZD26uRz8I7w1,-MKvCS5eZ-_n45f9TNIM,-MKvD7BPuRoEs5_zAhzR,targetdrag-click,10,-1.0,0,5.119,53.809,-20.499,5,38.42900013923645
65,1604022799.827,1604022806.712,target,click,5.328888726181087,1.6169457055351713,0.23344509326731977,90,0,0,0.12168574714549858,0.12168574714549858,1.0,cylinder,EFbdtTCPneUubxZG8ukXgOlml263,-MKrCJ2U6QQTqz9OSjIg,-MKrCNrIgRBoHqAy2sjE,target-click,3,-1.0,0,5.671,1.214,0.0,2,6.884999990463257
