,startTime,endTime,control,transitionType,targetX,targetY,targetTheta,threshXY,threshTheta,uid,sid,cid,interfaceID,numClicks,draggingDuration,cycleLength,targetDistance
60,1599759178.361,1599759182.726,targetdrag,press/release,491.7986994782141,262.64124330145654,-88.22476237156803,13.86157738662832,45.332707723794115,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3xdtG8CpcBDUygLR,targetdrag-press/release,2,1.589,4.365000009536743,135.48716876452693
61,1599759186.86,1599759192.279,targetdrag,press/release,266.32754929516034,302.75850449523494,95.5429033887253,27.384132206070774,53.628984318584294,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3zigdgQrM_9aOjYK,targetdrag-press/release,2,2.072,5.419000148773193,105.4109582651907
62,1599759196.419,1599759201.489,targetdrag,press/release,334.7164922829702,318.64307465350504,-94.35363588866983,15.942847026731005,33.398680655334374,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt4132o_bVu1Y5LCOE,targetdrag-press/release,2,3.021,5.070000171661377,73.12121828422038
63,1599759205.722,1599759211.427,targetdrag,press/release,403.5196678273225,302.2455278656004,176.3344186515896,6.718306744478934,45.22781255249643,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt43KPWvYDwDamXcbY,targetdrag-press/release,2,3.274,5.705000162124634,70.704778710147
64,1599759215.622,1599759229.06,targetdrag,press/release,241.5696047461196,395.2436296692211,-136.0601620870433,7.011889658622721,15.685665209070947,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt45k5JlVQmnX8E0qw,targetdrag-press/release,4,7.576,13.437999963760376,186.30989068564057
65,1599759233.368,1599759238.71,targetdrag,press/release,433.8194966890071,352.2705446960057,154.2093797188277,21.246578282912974,12.266318153794344,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt4A4NxSuefOY43HH-,targetdrag-press/release,2,1.903,5.3420000076293945,128.70913127421102
66,1599759242.863,1599759247.124,targetdrag,press/release,162.22583906399746,309.4170552903942,162.68809302335595,20.698849050245727,30.202044937215646,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt4COjRqRRmEvgLi6t,targetdrag-press/release,2,1.737,4.261000156402588,203.92938566642712
67,1599759251.312,1599759262.394,targetdrag,press/release,163.0242603217146,340.9699585232373,-29.824026888530902,19.955298703821466,17.59830002930322,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt4ESkU-P9I_6xiSux,targetdrag-press/release,4,6.881,11.082000017166138,214.6743134483116
68,1599759266.669,1599759277.285,targetdrag,press/release,356.4101311232353,248.62162423387545,134.1784020703396,19.835973874608577,7.5873193252478845,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt4IChtga9q-F3QU_p,targetdrag-press/release,4,5.31,10.616000175476074,0.7007949144835229
69,1599759281.428,1599759288.076,targetdrag,press/release,234.0643956741469,120.53822875322723,62.73907207358876,8.333921629852728,47.44248978108201,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt4LoJSWFOZy9MswtU,targetdrag-press/release,2,3.326,6.648000001907349,177.80773178582783
70,1599759292.439,1599759296.375,targetdrag,press/release,197.98977489446904,147.54550006919914,-30.316927031497,5.251839505863422,59.06503774799406,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt4OVMXgHMF9JGiCuJ,targetdrag-press/release,2,1.519,3.936000108718872,188.61937133900247
